"dt","AverageTemperature","country"
"2012-02-01",27.262,"Solomon Islands"
"2012-03-01",27.663,"Solomon Islands"
"2012-04-01",27.308,"Solomon Islands"
"2012-05-01",27.225,"Solomon Islands"
"2012-06-01",27.118,"Solomon Islands"
"2012-07-01",26.915,"Solomon Islands"
"2012-08-01",27.439,"Solomon Islands"
"2012-09-01",26.743,"Solomon Islands"
"2012-10-01",26.995,"Solomon Islands"
"2012-11-01",26.784,"Solomon Islands"
"2012-12-01",27.217,"Solomon Islands"
"2012-01-01",24.024,"South Africa"
"2012-02-01",23.04,"South Africa"
"2012-03-01",21.742,"South Africa"
"2012-04-01",16.941,"South Africa"
"2012-05-01",14.893,"South Africa"
"2012-06-01",11.436,"South Africa"
"2012-07-01",10.952,"South Africa"
"2012-08-01",13.253,"South Africa"
"2012-09-01",15.505,"South Africa"
"2012-10-01",18.507,"South Africa"
"2012-11-01",21.379,"South Africa"
"2012-12-01",22.491,"South Africa"
"2012-01-01",6.543,"Spain"
"2012-02-01",5.31,"Spain"
"2012-03-01",10.979,"Spain"
"2012-04-01",11.121,"Spain"
"2012-05-01",17.767,"Spain"
"2012-06-01",21.717,"Spain"
"2012-07-01",23.242,"Spain"
"2012-08-01",24.611,"Spain"
"2012-09-01",20.287,"Spain"
"2012-10-01",15.244,"Spain"
"2012-11-01",10.458,"Spain"
"2012-12-01",7.681,"Spain"
"2012-01-01",25.992,"Suriname"
"2012-02-01",25.766,"Suriname"
"2012-03-01",26.553,"Suriname"
"2012-04-01",26.624,"Suriname"
"2012-05-01",26.801,"Suriname"
"2012-06-01",26.767,"Suriname"
"2012-07-01",26.938,"Suriname"
"2012-08-01",27.703,"Suriname"
"2012-09-01",28.497,"Suriname"
"2012-10-01",28.583,"Suriname"
"2012-11-01",28.591,"Suriname"
"2012-12-01",27.458,"Suriname"
"2012-01-01",23.176,"Swaziland"
"2012-02-01",23.607,"Swaziland"
"2012-03-01",22.076,"Swaziland"
"2012-04-01",18.733,"Swaziland"
"2012-05-01",18.052,"Swaziland"
"2012-06-01",15.429,"Swaziland"
"2012-07-01",14.529,"Swaziland"
"2012-08-01",17.193,"Swaziland"
"2012-09-01",18.028,"Swaziland"
"2012-10-01",20.437,"Swaziland"
"2012-11-01",21.075,"Swaziland"
"2012-12-01",22.526,"Swaziland"
"2012-01-01",-0.0669999999999997,"Switzerland"
"2012-02-01",-4.513,"Switzerland"
"2012-03-01",6.19,"Switzerland"
"2012-04-01",6.996,"Switzerland"
"2012-05-01",12.569,"Switzerland"
"2012-06-01",15.525,"Switzerland"
"2012-07-01",16.954,"Switzerland"
"2012-08-01",18.243,"Switzerland"
"2012-09-01",13.119,"Switzerland"
"2012-10-01",8.436,"Switzerland"
"2012-11-01",4.478,"Switzerland"
"2012-12-01",-0.019,"Switzerland"
"2012-01-01",19.35,"United Arab Emirates"
"2012-02-01",20.724,"United Arab Emirates"
"2012-03-01",24.293,"United Arab Emirates"
"2012-04-01",29.021,"United Arab Emirates"
"2012-05-01",34.848,"United Arab Emirates"
"2012-06-01",36.308,"United Arab Emirates"
"2012-07-01",37.713,"United Arab Emirates"
"2012-08-01",37.288,"United Arab Emirates"
"2012-09-01",35.25,"United Arab Emirates"
"2012-10-01",30.769,"United Arab Emirates"
"2012-11-01",25.752,"United Arab Emirates"
"2012-12-01",21.794,"United Arab Emirates"
"2012-01-01",-2.268,"United States"
"2012-02-01",0.582,"United States"
"2012-03-01",6.024,"United States"
"2012-04-01",10.196,"United States"
"2012-05-01",15.422,"United States"
"2012-06-01",19.954,"United States"
"2012-07-01",23.008,"United States"
"2012-08-01",21.422,"United States"
"2012-09-01",17.036,"United States"
"2012-10-01",9.688,"United States"
"2012-11-01",3.33,"United States"
"2012-12-01",-1.261,"United States"
